Permit Number,Permit Type,Tract,Status,Initiating Office,License Number,Latitude,Longitude,Census Tract,Council District
19016-10000-39442,Bldg-Alter/Repair,PIONEER INVESTMENT AND TRUST COMPANY'S CRESTA DEL ARROYO TRACT,Permit Finaled,METRO,935439,34.03285,-118.19474,2039,14
19016-10000-30744,Bldg-Alter/Repair,TR 8453,Permit Finaled,METRO,663409,34.05267,-118.19276,2032,14
18016-10000-39533,Bldg-Alter/Repair,LA PALOMA HEIGHTS ADDITION,Permit Finaled,METRO,877113,34.03733,-118.19578,2041.1,14
19016-20000-37015,Bldg-Alter/Repair,CARNATION TERRACE TRACT,Permit Finaled,VAN NUYS,898182,34.04776,-118.19677,2038,14
20016-20000-01295,Bldg-Alter/Repair,MOUNTAIN VIEW TRACT,Issued,VAN NUYS,0,34.03287,-118.20068,2041.2,14
19041-20000-47140,Electrical,CARNATION TERRACE TRACT,Permit Finaled,VAN NUYS,898182,34.04776,-118.19677,2038,14
20016-90000-00906,Bldg-Alter/Repair,KENYON AND SMITH TRACT,Issued,INTERNET,602331,34.03257,-118.19902,2041.2,14
19044-90000-15646,HVAC,CARNATION TERRACE TRACT,Permit Finaled,INTERNET,1029529,34.04776,-118.19677,2038,14
20042-30000-09726,Plumbing,KENYON AND SMITH TRACT,Permit Finaled,WEST LA,1019179,,,2041.2,14
20016-90000-13719,Bldg-Alter/Repair,TR 5258,Permit Finaled,INTERNET,876769,34.05264,-118.19429,2032,14
16042-20001-03423,Plumbing,KENYON AND SMITH TRACT,Permit Finaled,VAN NUYS,1006587,34.03151,-118.19877,2041.2,14
21042-10000-12724,Plumbing,SUBDIVISION OF THE CHEESBROUGH TRACT,Issued,METRO,977636,34.03756,-118.19457,2039,14
20016-90000-12386,Bldg-Alter/Repair,TR 8453,Permit Finaled,INTERNET,0,34.05293,-118.19387,2032,14
20020-10000-01147,Nonbldg-New,GRIDER AND HAMILTON'S FLORAL PARK,Issued,METRO,410347,,,2017,14
20016-10000-02064,Bldg-Alter/Repair,MOUNTAIN VIEW TRACT,Issued,METRO,1055034,34.03287,-118.20068,2041.2,14
19041-20001-47140,Electrical,CARNATION TERRACE TRACT,Permit Finaled,VAN NUYS,898182,34.04776,-118.19677,2038,14
19042-20000-28285,Plumbing,CARNATION TERRACE TRACT,Permit Finaled,VAN NUYS,898182,34.04776,-118.19677,2038,14
20042-40000-01390,Plumbing,RAYMUND HEIGHTS TRACT,Issued,SANPEDRO,711937,34.04514,-118.19299,2038,14
17014-10001-03605,Bldg-Alter/Repair,HYLAND HEIGHTS TRACT,Permit Finaled,METRO,0,34.04303,-118.19661,2038,14
17014-10002-03605,Bldg-Alter/Repair,HYLAND HEIGHTS TRACT,Permit Finaled,METRO,0,34.04303,-118.19661,2038,14
19016-20000-36022,Bldg-Alter/Repair,CARNATION TERRACE TRACT,Permit Finaled,VAN NUYS,898182,34.04776,-118.19677,2038,14
19044-20000-14242,HVAC,CARNATION TERRACE TRACT,Permit Finaled,VAN NUYS,898182,34.04776,-118.19677,2038,14
20014-20000-01557,Bldg-Addition,TR 8453,Issued,VAN NUYS,0,34.05359,-118.19306,2032,14
19010-10000-02757,Bldg-New,GRIDER AND HAMILTON'S FLORAL PARK,Issued,METRO,998987,,,2017,14
19041-10000-05620,Electrical,TR 8453,Permit Finaled,METRO,519008,34.05344,-118.1937,2032,14
20030-10000-05831,Grading,PIONEER INVESTMENT AND TRUST COMPANY'S CRESTA DEL ARROYO TRACT,Permit Finaled,METRO,983221,34.02995,-118.19277,2039,14
20042-10000-11124,Plumbing,TR 2941,Permit Finaled,METRO,1052609,34.0503,-118.19559,2032,14
19016-10000-40914,Bldg-Alter/Repair,S 1/2 LOT 5 BLOCK F HANCOCK SURVEY,Permit Finaled,METRO,1061610,34.03459,-118.19594,2039,14
14014-10003-00116,Bldg-Alter/Repair,KENYON AND SMITH TRACT,Permit Finaled,METRO,1019179,,,2041.2,14
19044-10000-07702,HVAC,GRIDER AND HAMILTON'S FLORAL PARK,Issued,METRO,998987,,,2017,14
14014-10002-00116,Bldg-Alter/Repair,KENYON AND SMITH TRACT,Permit Finaled,METRO,0,,,2041.2,14
19043-10000-06099,Fire Sprinkler,SUBDIVISION OF THE CHEESBROUGH TRACT,Permit Finaled,METRO,906038,,,2039,14
19016-10001-19418,Bldg-Alter/Repair,PIONEER INVESTMENT AND TRUST COMPANY'S CRESTA DEL ARROYO TRACT,Permit Finaled,METRO,0,34.03127,-118.19734,2039,14
